개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,
강서구 방화1동주민센터 2층 작은도서관(북까페),방화1동주민센터,기타,매주 일요일,09:00,18:00,12:00,14:00,N,,,,,50,152,"보유장서 7,000권, 북까페",방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2016/03/30/S160330163833385259&n=vKWuQzwQOGz8in2xu9bx7qCIhPON9I_299538&on=방화1동_작은도서관.jpg,서울특별시 강서구 방화동로 124-1,,서울특별시 강서구청,방화1동주민센터,02-2600-7946,http://yeyak.seoul.go.kr/,37.5715294,126.8034481,2018-02-19,
강서구 발산1동주민센터 2층 작은도서관(북까페),발산1동주민센터,기타,매주 일요일,10:00,17:00,10:00,13:00,N,,,,,48,221,"보유장서 9,009권, 북까페",방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2016/03/31/S160331100259706800&n=1TB6I4tmiI2zmVnw6Zt7qtp9CVH3rv_299594&on=발산1동_작은도서관.jpg,서울특별시 강서구 강서로47길 54,,서울특별시 강서구청,발산1동주민센터,02-2600-7878,http://yeyak.seoul.go.kr/,37.553099,126.8244163,2018-02-19,
강서구 등촌2동주민센터 2층 작은도서관,등촌2동주민센터,기타,"매주 토요일,일요일",10:00,18:00,00:00,00:00,N,,,,,56,162,"보유장서 6,139권",방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2016/03/31/S160331181057468555&n=69zb16Odx3pMa6eEk4vRzd4341VcYj_299778&on=등촌2동_작은도서관.gif,서울특별시 강서구 등촌로 143,,서울특별시 강서구청,등촌2동주민센터,02-2600-7386,http://yeyak.seoul.go.kr/,37.5426303,126.8537232,2018-02-19,
범서읍주민자치센터,범서읍행정복지센터,기타,"일요일, 공휴일",09:00,22:00,09:00,13:00,Y,,,,,,,,,,울산광역시 울주군 범서읍 송현길 72,,울산광역시 울주군 범서읍행정복지센터,,,,35.569131,129.230207,2018-02-14,
강서구 화곡1동주민센터 3층 작은도서관(북까페),화곡1동주민센터,기타,매주 일요일,09:00,18:00,09:00,13:00,N,,,,,15,216,"보유장서 6,576권, 북까페",방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2016/03/31/S160331151523562260&n=5CozxzAoRc56y6W9mHVE78AwrmPdKm_299670&on=화곡1동_작은도서관.jpg,서울특별시 강서구 곰달래로 79,,서울특별시 강서구청,화곡1동주민센터,02-2600-7493,http://yeyak.seoul.go.kr/,37.5304698,126.8328335,2018-02-19,
강서구 가양1동주민센터 2층 배움방,가양1동주민센터,강의실,매주 일요일,10:00,21:00,10:00,18:00,Y,2,20000,1,10000,20,30,"강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2014/03/27/S140327141105745345&m=i&n=17zR25f6754a9xG1LMiyfbKt752e6V_193856&on=SAM_0653.JPG,서울특별시 강서구 허준로 30,,서울특별시 강서구청,가양1동주민센터,02-2600-7763,http://yeyak.seoul.go.kr/,37.5694625,126.835945,2018-02-19,
강서구 등촌3동주민센터 3층 다목적실,등촌3동주민센터,다목적실,매주 일요일,13:00,21:00,09:00,17:00,Y,2,30000,1,15000,50,136,"빔프로젝트, 마이크, 스피커, 강의용 테이블, 의자",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2016/03/30/S160330165432935005&n=9TO81DA798nw33879Gw59ES1LiBylF_299562&on=등촌3동_다목적실 사진.JPG,서울특별시 강서구 화곡로63길 96,,서울특별시 강서구청,등촌3동주민센터,02-2600-7405,http://yeyak.seoul.go.kr/,37.5588432,126.8457104,2018-02-19,
강서구 공항동주민센터 1층 프로그램실,공항동주민센터,강의실,매주 일요일,10:00,21:00,10:00,18:00,Y,2,30000,1,15000,50,100,"강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2016/03/31/S160331163641659402&n=5z3ZG5IWXb4NC47H74R22KqrtzT3GU_299756&on=공항동_프로그램실.jpg,서울특별시 강서구 송정로 45,,서울특별시 강서구청,공항동주민센터,02-2600-7915,http://yeyak.seoul.go.kr/,37.5585839,126.8013357,2018-02-19,
강서구 화곡4동주민센터 3층 문화교실,화곡4동주민센터,강의실,매주 일요일,09:00,21:00,09:00,17:00,Y,2,20000,1,10000,20,40,"빔프로젝트, 강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2016/03/31/S160331153006196911&n=KA622N923h9ks7MEfWlz88L29iJsrg_299694&on=화곡4동_문화교실.jpg,서울특별시 강서구 곰달래로57가길 26,,서울특별시 강서구청,화곡4동주민센터,02-2600-7604,http://yeyak.seoul.go.kr/,37.5345895,126.8518529,2018-02-19,
남선공원종합체육관 스쿼시장,남선공원종합체육관,기타,명절,06:00,23:00,10:00,19:00,Y,,10000,,,,228,운동복,방문,,대전광역시 서구 남선로 66(탄방동),,대전광역시 서구청,문화체육과,042-488-5614,www.namsunleports.co.kr,36.3476713,127.3983605,2018-02-13,
강서구 방화3동주민센터 3층 어학실,방화3동주민센터,강의실,매주 일요일,13:00,21:00,10:00,18:00,Y,2,20000,1,10000,17,53,"의자, 강의용 테이블, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2016/04/01/S160331170321415562&m=i&n=5NRbh2447lCaIib7R74S26q7dGofa4_299806&on=방화3동_어학실.jpg,서울특별시 강서구 금낭화로24길 5,,서울특별시 강서구청,방화3동주민센터,02-2600-5244,http://yeyak.seoul.go.kr/,37.5787003,126.8049282,2018-02-19,
강서구 염창동주민센터 3층 동아리방,염창동주민센터,강의실,매주 일요일,12:00,21:00,10:00,18:00,Y,2,20000,1,10000,15,36,"강의용테이블, 의자, 화이트보드, 냉난방기",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2016/03/17/S160311100731119916&n=LMtnTYni5NWvkA6Rx5l438lXjU2we1_297850&on=3층 동아리방.jpg,서울특별시 강서구 양천로67 가길 63,,서울특별시 강서구청,염창동주민센터,02-2600-7306,http://yeyak.seoul.go.kr/,37.5537414,126.8622235,2018-02-19,
강서구 마을공동체 사랑방 강의실,마을공동체사랑방,기타,"매주 토요일,일요일",10:00,18:00,00:00,00:00,Y,2,20000,1,10000,30,33,"강의용 탁자, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2015/05/01/S150501212720941289&m=i&n=qzPN8HVD2SaV1N459ycKxCd943bqkJ_253074&on=마을공동체 사랑방.gif,"서울특별시 강서구 양천로57길 36, 5단지상가A동 301호",,서울특별시 강서구청,자치안전과,02-2600-6158,http://yeyak.seoul.go.kr/,37.5532237,126.8085958,2018-02-19,
강서구 강서구민회관 우장홀 대관,강서구민회관,기타,연중무휴,09:00,21:00,09:00,22:00,Y,3,70000,1,30000,627,858,"마이크,빔프로젝터,음향,피아노,조명",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2015/08/21/S150821185410373986&n=9V12oYxtHog491N1T7O38N6Jj9m51r_267692&on=우장홀 사진.gif,서울특별시 강서구 우장산로 66,,서울특별시 강서구청,행정지원과,02-2600-6028,http://yeyak.seoul.go.kr/,37.5531441,126.8348604,2018-02-19,
강서구 방화3동주민센터 2층 북까페,방화3동주민센터,기타,"매주 토요일,일요일",09:00,18:00,09:00,13:00,N,,,,,50,107,"보유장서 약 3,634권, 북카페",방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2015/06/17/S150615143525015077&m=i&n=9JrBLQBpAOPXoo2Nkf9Qv4Ea765CVT_258468&on=방그리나4.JPG,서울특별시 강서구 금낭화로24길 5,,서울특별시 강서구청,방화3동주민센터,02-2600-5244,http://yeyak.seoul.go.kr/,37.5787003,126.8049282,2018-02-19,
관저체육공원운동장 농구장,관저체육공원운동장,농구장,연중무휴,06:00,22:00,06:00,22:00,N,,0,,,,1162,,방문,,대전광역시 서구 관저중로 10(관저동),,대전광역시 서구청,문화체육과,042-542-6078,,36.2934456,127.3353989,2018-02-13,
강서구 방화3동주민센터 취미교실,방화3동주민센터,강의실,매주 일요일,14:00,21:00,09:00,17:00,Y,2,20000,1,10000,30,48,"의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2012/12/17/S121217204222200136&m=i&n=i7j8SXO2P82171Mys2AhxpD35xrEL7_13862&on=13862.jpg,서울특별시 강서구 금낭화로24길 5,,서울특별시 강서구청,방화3동주민센터,02-2600-5244,http://yeyak.seoul.go.kr/,37.5787003,126.8049282,2018-02-19,
강서구 방화2동주민센터 3층 다목적실,방화2동주민센터,다목적실,매주 일요일,14:00,21:00,15:00,19:00,Y,2,30000,1,15000,80,160,"빔프로젝트, 마이크, 강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2014/04/15/S140415095115759785&m=i&n=khcl7K1i5lCFRd5nZYepD12f1Tq1L3_198252&on=3층다목적실.jpg,서울특별시 강서구 개화동로23길 20,,서울특별시 강서구청,방화2동주민센터,02-2600-5208,http://yeyak.seoul.go.kr/,37.566698,126.7979726,2018-02-19,
강서구 방화1동주민센터 3층 다목적실,방화1동주민센터,다목적실,매주 일요일,10:00,21:00,10:00,18:00,Y,2,35000,1,17500,50,151,"빔프로젝트, 마이크, 수강용테이블, 의자",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2012/12/18/S121218101005513748&m=i&n=92Vha4yUOrgjKfwZ477bXpu67M5m4Y_13962&on=13962.jpg,서울특별시 강서구 방화동로 124-1,,서울특별시 강서구청,방화1동주민센터,02-2600-7946,http://yeyak.seoul.go.kr/,37.5715294,126.8034481,2018-02-19,
강서구 공항동주민센터 2층 다목적실,공항동주민센터,다목적실,매주 일요일,13:00,21:00,10:00,18:00,Y,2,35000,1,17500,100,184,"빔프로젝트, 마이크, 강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2013/01/29/S130129092144819072&m=i&n=juCi7LAap1ntG385G63iZmH13c9zgY_150344&on=공항동 다목적실.JPG,서울특별시 강서구 송정로 45,,서울특별시 강서구청,공항동주민센터,02-2600-7915,http://yeyak.seoul.go.kr/,37.5585839,126.8013357,2018-02-19,
강서구 발산1동주민센터 4층 배움터,발산1동주민센터,강의실,매주 일요일,10:00,21:00,09:00,17:00,Y,2,20000,1,10000,20,38,"강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2012/12/24/S121221203609625407&m=i&n=F1rxqjybAPM7fGvyD71ORB3qrP5z7e_15330&on=15330.jpg,서울특별시 강서구 강서로47길 54,,서울특별시 강서구청,발산1동주민센터,02-2600-7878,http://yeyak.seoul.go.kr/,37.553099,126.8244163,2018-02-19,
관저체육공원운동장 족구장,관저체육공원운동장,족구장,연중무휴,06:00,22:00,06:00,22:00,N,,0,,,,1162,,방문,,대전광역시 서구 관저중로 10(관저동),,대전광역시 서구청,문화체육과,042-542-6078,,36.2934456,127.3353989,2018-02-13,
강서구 발산1동주민센터 2층 배움터,발산1동주민센터,강의실,매주 일요일,10:00,17:00,09:00,13:00,Y,2,20000,1,10000,25,54,"강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2014/03/18/S140318163332123320&m=i&n=2ny4JT7Ns9mO391CT29xO1g4bAQn4c_192238&on=배움터 내부사진.jpg,서울특별시 강서구 강서로47길 54,,서울특별시 강서구청,발산1동주민센터,02-2600-7878,http://yeyak.seoul.go.kr/,37.553099,126.8244163,2018-02-19,
강서구 발산1동주민센터 3층 다목적실,발산1동주민센터,다목적실,매주 일요일,17:00,21:00,09:00,17:00,Y,2,40000,1,20000,150,253,"빔프로젝트, 마이크, 강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2014/12/05/S121221192507254910&m=i&n=Cq6s4D7rB1b8e2m5kyIiLqPy3C5r4A_227690&on=SAM_4973.JPG,서울특별시 강서구 강서로47길 54,,서울특별시 강서구청,발산1동주민센터,02-2600-7878,http://yeyak.seoul.go.kr/,37.553099,126.8244163,2018-02-19,
강서구 가양3동주민센터 3층 다목적실,가양3동주민센터,다목적실,매주 일요일,12:00,21:00,09:00,17:00,Y,2,20000,1,10000,50,181,"빔프로젝트, 마이크, 강의용테이블, 의자",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2012/12/20/S121220221324532541&m=i&n=fY33VbcSv3juKKb1mee3e6br23rR52_14616&on=14616.jpg,서울특별시 강서구 허준로 202,,서울특별시 강서구청,가양3동주민센터,02-2600-7848,http://yeyak.seoul.go.kr/,37.5610415,126.8517988,2018-02-19,
강서구 가양2동주민센터 4층 생활체육실,가양2동주민센터,기타,"매주 월요일,수요일,금요일,일요일",11:00,21:00,09:00,17:00,Y,2,25000,1,12500,30,91,씨디플레이어,인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2015/06/04/S150604210649780256&m=i&n=BscYIO8WBqhjH9H6h8oF8Far53nA84_257506&on=4층 생활체육실3.jpg,서울특별시 강서구 허준로 93,,서울특별시 강서구청,가양2동주민센터,02-2600-7798,http://yeyak.seoul.go.kr/,37.5673611,126.8424896,2018-02-19,
강서구 가양2동주민센터 2층 자유학습실,가양2동주민센터,회의실,"매주 토요일,일요일",09:00,17:00,00:00,00:00,Y,2,20000,1,10000,10,30,"테이블, 의자",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2015/03/31/S150331164532562859&m=i&n=91b8z85Dfl714k658BRz8u334AuM86_247536&on=자유학습실.jpg,서울특별시 강서구 허준로 93,,서울특별시 강서구청,가양2동주민센터,02-2600-7798,http://yeyak.seoul.go.kr/,37.5673611,126.8424896,2018-02-19,
관저체육공원운동장 조깅트랙,관저체육공원운동장,기타,연중무휴,06:00,22:00,06:00,22:00,N,,0,,,,4612,,방문,,대전광역시 서구 관저중로 10(관저동),,대전광역시 서구청,문화체육과,042-542-6078,,36.2934456,127.3353989,2018-02-13,
강서구 가양2동주민센터 2층 평생학습실,가양2동주민센터,강의실,매주 일요일,09:00,17:00,10:00,14:00,Y,2,20000,1,10000,10,30,"테이블, 의자, 화이트보드 등",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2014/04/11/S140411143012223117&m=i&n=f2W186av1eZ8oH9JkjKC3FM47TPP55_197560&on=가양2동 평생학습실.JPG,서울특별시 강서구 허준로 93,,서울특별시 강서구청,가양2동주민센터,02-2600-7798,http://yeyak.seoul.go.kr/,37.5673611,126.8424896,2018-02-19,
강서구 가양2동주민센터 다목적실,가양2동주민센터,다목적실,"매주 월요일,금요일,토요일,일요일",14:00,18:00,00:00,00:00,Y,2,40000,1,20000,70,260,"빔프로젝트, 마이크, 강의용테이블, 의자, 화이트보드 등",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2013/01/02/S121218091424555614&m=i&n=sh4jitJ9t911b63AG9OrEGzdED6541_17256&on=17256.jpg,서울특별시 강서구 허준로 93,,서울특별시 강서구청,가양2동주민센터,02-2600-7798,http://yeyak.seoul.go.kr/,37.5673611,126.8424896,2018-02-19,
강서구 가양1동주민센터 3층 다목적실,가양1동주민센터,다목적실,매주 일요일,13:00,21:00,10:00,18:00,Y,2,30000,1,15000,100,200,"빔프로젝터, 마이크, 강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2012/12/24/S121221173330507461&m=i&n=V2lWFPKs1cXiVni7GLsktVQm7g8u63_15286&on=15286.jpg,서울특별시 강서구 허준로 30,,서울특별시 강서구청,가양1동주민센터,02-2600-7763,http://yeyak.seoul.go.kr/,37.5694625,126.835945,2018-02-19,
강서구 가양1동주민센터 만남의방,가양1동주민센터,회의실,"매주 목요일,일요일",09:00,21:00,10:00,18:00,Y,2,20000,1,10000,25,33,"화이트보드, 회의용테이블, 의자",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2012/12/24/S121221205859983029&m=i&n=21W7IN5ub5T1X8pG2nIQTOzyVE619b_15110&on=15110.jpg,서울특별시 강서구 허준로 30,,서울특별시 강서구청,가양1동주민센터,02-2600-7763,http://yeyak.seoul.go.kr/,37.5694625,126.835945,2018-02-19,
강서구 내발산문화센터 4층 배움터2,내발산문화센터,강의실,"매주 토요일,일요일",10:00,21:00,00:00,00:00,Y,2,20000,1,10000,50,60,"마이크, 음향기기",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2013/12/30/S131224161244158695&m=i&n=HyHyUtZpA3Vj8xRk2MOXL32oWkhe9j_181360&on=내발산문화센터 4층 배움터2.JPG,서울특별시 강서구 강서로52길 89,,서울특별시 강서구청,내발산문화센터,02-2600-7752,http://yeyak.seoul.go.kr/,37.5574712,126.8344302,2018-02-19,
정림테니스장,정림테니스장,테니스장,연중무휴,06:00,22:00,06:00,22:00,Y,1,2000,,,,2100,,방문,,대전광역시 서구 정림서로 181(정림동),,대전광역시 서구청,문화체육과,,,36.3031248,127.3631084,2018-02-13,
강서구 내발산문화센터 다목적실,내발산문화센터,다목적실,"매주 월요일,화요일,토요일,일요일",13:00,17:00,00:00,00:00,Y,2,20000,1,10000,70,196,"마이크, 음향기기",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2012/12/20/S121220155010241290&m=i&n=zX6A28r5BF23kn7e1rW9g9IFY63UtV_14506&on=14506.jpg,서울특별시 강서구 강서로52길 89,,서울특별시 강서구청,내발산문화센터,02-2600-7752,http://yeyak.seoul.go.kr/,37.5574712,126.8344302,2018-02-19,
강서구 우장산동주민센터 3층 취미교실1,우장산동주민센터,다목적실,매주 일요일,13:00,21:00,09:00,17:00,Y,2,20000,1,10000,80,149,"빔프로젝트, 마이크, 강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2015/01/23/S150123171613112947&m=i&n=Caf4D3ir69VT2uyOvjLYPk2ZL9t7E2_237470&on=S121217113720193705.jpg,서울특별시 강서구 우현로 34,,서울특별시 강서구청,우장산동주민센터,02-2600-7732,http://yeyak.seoul.go.kr/,37.5482429,126.8330507,2018-02-19,
강서구 화곡8동주민센터 2층 북까페,화곡8동주민센터,기타,매주 일요일,09:00,18:00,10:00,14:00,N,,,,,40,283,"도서 약 6,960권,  북카페",방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2015/06/18/S150615162020901516&m=i&n=8882J7klX99iM6cG73v1jSdq91zN1O_258676&on=화곡8동북까페1.JPG,서울특별시 강서구 곰달래로25길 45,,서울특별시 강서구청,화곡8동주민센터,02-2600-7687,http://yeyak.seoul.go.kr/,37.5326511,126.8395657,2018-02-19,
강서구 화곡8동주민센터 지하 공연연습장,화곡8동주민센터,기타,매주 일요일,12:00,16:00,10:00,14:00,Y,2,25000,1,12500,20,60,음향기기,인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2014/03/20/S140320105822837036&m=i&n=ch3fs6bC7iicAyhvb91THmmkmhLZ8W_192622&on=1378189643205.jpg,서울특별시 강서구 곰달래로25길 45,,서울특별시 강서구청,화곡8동주민센터,02-2600-7687,http://yeyak.seoul.go.kr/,37.5326511,126.8395657,2018-02-19,
강서구 화곡8동주민센터 3층 창작공방실,화곡8동주민센터,강의실,매주 일요일,10:00,21:00,10:00,18:00,Y,2,20000,1,10000,15,26,"강의용테이블 8개, 의자 16개, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2014/03/18/S140318163309708411&m=i&n=7m88kr42uUSp9qU4qcs5dEL7Hp8u46_192246&on=1385539562922.jpg,서울특별시 강서구 곰달래로25길 45,,서울특별시 강서구청,화곡8동주민센터,02-2600-7687,http://yeyak.seoul.go.kr/,37.5326511,126.8395657,2018-02-19,
백운체육관 배드민턴장,백운체육관,배드맨턴장,명절,06:00,23:30,06:00,19:00,Y,2,1000,,,,534,,방문,,대전광역시 서구 갈마로 160(괴정동),,대전광역시 서구청,문화체육과,042-522-7742,,36.339655,127.3736117,2018-02-13,
강서구 화곡8동주민센터 3층 다목적실,화곡8동주민센터,다목적실,"매주 토요일,일요일",10:00,20:00,14:00,19:00,Y,2,25000,1,12500,50,100,"빔프로젝트, 마이크, 강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2013/01/02/S121220174122071819&m=i&n=duMqxV3lrl11XcgnGv9CaCpkBZkQQw_17274&on=17274.jpg,서울특별시 강서구 곰달래로25길 45,,서울특별시 강서구청,화곡8동주민센터,02-2600-7687,http://yeyak.seoul.go.kr/,37.5326511,126.8395657,2018-02-19,
강서구 화곡6동주민센터 2층 북까페,화곡6동주민센터,기타,"매주 토요일,일요일",09:00,18:00,00:00,00:00,N,,,,,60,111,"보유장서 4,000권, 북까페",방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2015/06/17/S150617105928412950&m=i&n=ENEN4Wtb171a5Ai5O9urlcseVE1Ce9_258630&on=화곡6도서관.jpg,서울특별시 강서구 화곡로 312,,서울특별시 강서구청,화곡6동주민센터,02-2600-7646,http://yeyak.seoul.go.kr/,37.5517673,126.8413064,2018-02-19,
강서구 화곡6동주민센터 3층 다목적실,화곡6동주민센터,다목적실,"매주 월~수요일,일요일",09:00,21:00,09:00,17:00,Y,2,25000,1,15000,10,77,"마이크, 강의용테이블, 의자, 화이트보드",인터넷+App+방문,http://yeyak.seoul.go.kr/fileDownload.web?p=/TB_SVCIMG/2014/03/21/S140318210416221318&m=i&n=Usi9vs97KxwXHY9gep42x8jK46q8YF_192956&on=3층문화관람실.JPG,서울특별시 강서구 화곡로 312,,서울특별시 강서구청,화곡6동주민센터,02-2600-7646,http://yeyak.seoul.go.kr/,37.5517673,126.8413064,2018-02-19,
