연번,호선,역명,도로명주소,지번주소,우편번호,전화번호
26,5,을지로4가역,서울특별시 중구 창경궁로 지하51 (주교동),서울특별시 중구 을지로4가 88,100-330,02-6311-5351
27,5,동대문역사문화공원역,서울특별시 중구 마른내로 지하162 (광희동1가),서울특별시 중구 광희동 1가 87-5,100-411,02-6311-5361
28,5,청구역,서울특별시 중구 청구로 지하77 (신당동),서울특별시 중구 신당동 294-2,100-896,02-6311-5371
29,5,신금호역,서울특별시 성동구 금호로 지하154 (금호동2가),서울특별시 성동구 금호동2가 223-1,133-803,02-6311-5381
30,5,행당역,서울특별시 성동구 행당로 지하89 (행당동),서울특별시 성동구 행당동 317-241,133-868,02-6311-5391
31,5,왕십리역,서울특별시 성동구 왕십리로 지하300 (행당동),서울특별시 성동구 행당동 192,133-866,02-6311-5401
32,5,마장역,서울특별시 성동구 마장로 지하296 (마장동),서울특별시 성동구 마장동 772,133-815,02-6311-5411
33,5,답십리역,서울특별시 성동구 천호대로 지하300 (용답동),서울특별시 성동구 용답동 99,133-849,02-6311-5421
34,5,장한평역,서울특별시 동대문구 천호대로 지하405 (장안동),서울특별시 동대문구 장안동 472-3,130-100,02-6311-5431
35,5,군자역(능동),서울특별시 광진구 천호대로 지하550 (능동)  ,서울특별시 광진구 능동 275-5,143-847,02-6311-5441
36,5,아차산역(어린이대공원후문),서울특별시 광진구 천호대로 지하657 (능동),서울특별시 광진구 능동 256-16,143-849,02-6311-5451
37,5,광나루역(장신대),서울특별시 광진구 아차산로 지하571 (광장동,서울특별시 광진구 광장동 237,143-805,02-6311-5461
38,5,천호역(풍납토성) ,서울특별시 강동구 천호대로 지하997 (천호동),서울특별시 강동구 천호동 455,134-874,02-6311-5471
39,5,강동역,서울특별시 강동구 천호대로 지하1097 (천호동),서울특별시 강동구 천호동 447,134-864,02-6311-5481
40,5,길동역,서울특별시 강동구 양재대로 지하1480 (길동),서울특별시 강동구 길동 378,134-813,02-6311-5491
41,5,굽은다리역(강동구민회관앞),서울특별시 강동구 양재대로 지하1572 (명일동),서울특별시 강동구 명일동 345-12,134-830,02-6311-5501
42,5,명일역,서울특별시 강동구 양재대로 지하1632 (명일동),서울특별시 강동구 명일동 312,134-830,02-6311-5511
43,5,고덕역,서울특별시 강동구 고덕로 지하253 (고덕동),서울특별시 강동구 고덕동 310,134-804,02-6311-5521
44,5,상일동역,서울특별시 강동구 고덕로 지하359 (상일동),서울특별시 강동구 상일동 148,134-837,02-6311-5531
45,5,둔촌동역,서울특별시 강동구 양재대로 지하1369 (둔촌동),서울특별시 강동구 둔촌동 416,134-822,02-6311-5541
46,5,올림픽공원역(한국체대),서울특별시 송파구 양재대로 지하1233 (방이동),서울특별시 송파구 방이동 89-28,138-829,02-6311-5551
47,5,방이역,서울특별시 송파구 양재대로 지하1127 (방이동),서울특별시 송파구 방이동 217-2,138-836,02-6311-5561
48,5,오금역,서울특별시 송파구 오금로 지하321 (오금동),서울특별시 송파구 오금동 44-2,138-856,02-6110-3521
49,5,개롱역,서울특별시 송파구 오금로 지하402 (가락동),서울특별시 송파구 오금동 165-2,138-810,02-6311-5581
50,5,거여역,서울특별시 송파구 오금로 지하499 (거여동),서울특별시 송파구 거여동 20-14,138-813,02-6311-5591
51,5,마천역,서울특별시 송파구 마천로57길 지하7 (마천동),서울특별시 송파구 마천동 307-4,138-821,02-6311-5601
52,6,응암역,서울특별시 은평구 증산로 지하477 (역촌동),서울특별시 은평구 역촌동 85-41,122-903,02-6311-6101
53,6,역촌역,서울특별시 은평구 서오릉로 지하63 (녹번동),서울특별시 은평구 녹번동 144-69,122-833,02-6311-6111
54,6,불광역,서울특별시 은평구 통일로 지하723-1 (대조동),서울특별시 은평구 대조동 14-1,122-837,02-6311-6121
55,6,독바위역,서울특별시 은평구 불광로 지하129-1 (불광동),서울특별시 은평구 불광동 13-33,122-847,02-6311-6131
56,6,연신내역,서울특별시 은평구 통일로 지하849 (갈현동),서울특별시 은평구 갈현동 397,122-809,02-6110-3211
57,6,구산역,서울특별시 은평구 연서로 지하137-1 (구산동),서울특별시 은평구 구산동 1,122-819,02-6311-6151
58,6,새절역(신사),서울특별시 은평구 증산로 지하400 (신사동,서울특별시 은평구 신사동 337-5,122-891,02-6311-6161
59,6,증산역(명지대앞),서울특별시 은평구 증산로 지하306 (증산동),서울특별시 은평구 증산동 199-8,122-939,02-6311-6171
60,6,디지털미디어시티역,서울특별시 은평구 수색로 지하175 (증산동),서울특별시 은평구 수색동 37-36,122-941,02-6311-6181
61,6,월드컵경기장역(성산),서울특별시 마포구 월드컵로 지하240 (성산동),서울특별시 마포구 성산동 420,121-850,02-6311-6191
62,6,마포구청역,서울특별시 마포구 월드컵로 지하190 (성산동),서울특별시 마포구 성산동 592,121-850,02-6311-6201
63,6,망원역,서울특별시 마포구 월드컵로 지하77 (망원동),서울특별시 마포구 망원동 378,121-820,02-6311-6211
64,6,합정역,서울특별시 마포구 양화로 지하45 (합정동),서울특별시 마포구 합정동 414,121-883,02-6311-6221
65,6,상수역,서울특별시 마포구 독막로 지하85 (상수동),서울특별시 마포구 상수동 309-10,121-829,02-6311-6231
66,6,광흥창역(서강),서울특별시 마포구 독막로 지하165 (창전동),서울특별시 마포구 창전동 145-17,121-881,02-6311-6241
67,6,대흥역(서강대앞),서울특별시 마포구 대흥로 지하85 (대흥동),서울특별시 마포구 대흥동 128-1,121-809,02-6311-6251
68,6,효창공원앞역(용산구청),서울특별시 용산구 백범로 지하287 (효창동),서울특별시 용산구 효창동 246-1,140-896,02-6311-6271
69,6,삼각지역,서울특별시 용산구 한강대로 지하185 (한강로1가),서울특별시 용산구 한강로1가 228-1,140-011,02-6311-6281
70,6,녹사평역,서울특별시 용산구 녹사평대로 지하195 (용산동4가),서울특별시 용산구 용산동 4가 4,140-024,02-6311-6291
71,6,이태원역,서울특별시 용산구 이태원로 지하177 (이태원동),서울특별시 용산구 이태원동 119-23,140-863,02-6311-6301
72,6,한강진역,서울특별시 용산구 이태원로 지하287 (한남동),서울특별시 용산구 한남동 726-494,140-893,02-6311-6311
73,6,버티고개역,서울특별시 중구 다산로 지하38 (신당동),서울특별시 중구 신당동 366-454,100-830,02-6311-6321
74,6,약수역,서울특별시 중구 다산로 지하115 (신당동),서울특별시 중구 신당동 369-2,100-841,02-6311-6331
75,6,신당역,서울특별시 중구 다산로 지하260 (흥인동),서울특별시 중구 흥인동 162-1,100-430,02-6311-6351
76,6,동묘앞역,서울특별시 종로구 지봉로 지하24 (숭인동),서울특별시 종로구 숭인동 316-3,110-826,02-6311-6361
77,6,창신역,서울특별시 종로구 지봉로 지하112 (창신동),서울특별시 종로구 창신동 20-8,110-861,02-6311-6371
78,6,보문역,서울특별시 성북구 보문로 지하116 (보문동1가),서울특별시 성북구 보문동 1가 127-1,136-081,02-6311-6381
79,6,안암역(고대병원앞),서울특별시 성북구 인촌로 지하89 (안암동5가),서울특별시 성북구 안암동5가 146-1,136-075,02-6311-6391
80,6,고려대역(종암),서울특별시 성북구 종암로 지하1 (종암동),서울특별시 성북구 종암동 29-18,136-858,02-6311-6401
81,6,월곡역(동덕여대),서울특별시 성북구 월곡로 지하107 (하월곡동),서울특별시 성북구 하월곡동 35-1,136-130,02-6311-6411
82,6,상월곡역(한국과학기술연구원),서울특별시 성북구 화랑로 지하157 (상월곡동),서울특별시 성북구 상월곡동 26-1,136-120,02-6311-6421
83,6,돌곶이역,서울특별시 성북구 화랑로 지하243 (석관동),서울특별시 성북구 석관동 349-8,136-820,02-6311-6431
84,6,석계역,서울특별시 노원구 화랑로 지하347-1 (월계동),서울특별시 노원구 월계동 25-2,139-840,02-6311-6441
85,6,화랑대역(서울여대입구),서울특별시 노원구 화랑로 지하510 (공릉동),서울특별시 노원구 공릉동 285-2,139-240,02-6311-6461
86,6,봉화산역,서울특별시 중랑구 신내로 지하232 (신내동),서울특별시 중랑구 신내동 643-1,131-130,02-6311-6471
87,7,장암역,경기도 의정부시 동일로 121 (장암동),경기도 의정부시 장암동 160-8,480-030,02-6311-7091
88,7,도봉산역,서울특별시 도봉구 도봉로 964-40 (도봉동),서울특별시 도봉구 도봉동 38-3,132-800,02-6311-7101
89,7,수락산역,서울특별시 노원구 동일로 지하1662 (상계동),서울특별시 노원구 상계동 1132-9 ,139-838,02-6311-7111
90,7,마들역,서울특별시 노원구 동일로 지하1530-1 (상계동),서울특별시 노원구 상계동 650 ,139-200,02-6311-7121
91,7,노원역,서울특별시 노원구 동일로 지하1409 (상계동),서울특별시 노원구 상계동 729,139-200,02-6311-7131
92,7,중계역,서울특별시 노원구 동일로 지하1308-1 (중계동),서울특별시 노원구 중계동 503-3,139-863,02-6311-7141
93,7,하계역,서울특별시 노원구 동일로 지하1196 (하계동),서울특별시 노원구 하계동 273-5,139-873,02-6311-7151
94,7,공릉역(서울과학기술대),서울특별시 노원구 동일로 지하1074 (공릉동),서울특별시 노원구 공릉동 385-4,139-801,02-6311-7161
95,7,태릉입구역 ,서울특별시 노원구 동일로 지하992-1 (공릉동),서울특별시 노원구 공릉동 616-4,139-808,02-6311-7171
96,7,먹골역,서울특별시 중랑구 동일로 지하901 (묵동),서울특별시 중랑구 묵동 189-5,131-850,02-6311-7181
97,7,중화역,서울특별시 중랑구 동일로 지하797 (중화동),서울특별시 중랑구 중화동 50-3 ,131-875,02-6311-7191
98,7,상봉역(시외버스터미널),서울특별시 중랑구 망우로 지하297 (상봉동),서울특별시 중랑구 상봉동 160-7,131-857,02-6311-7201
99,7,면목역,서울특별시 중랑구 면목로 지하407 (면목동),서울특별시 중랑구 면목동 282-6,131-200,02-6311-7211
100,7,사가정역,서울특별시 중랑구 사가정로 지하393 (면목동),서울특별시 중랑구 면목동 495,131-812,02-6311-7221
101,7,용마산역,서울특별시 중랑구 용마산로 지하227 (면목동),서울특별시 중랑구 면목동 1382-13,131-200,02-6311-7231
102,7,중곡역,서울특별시 광진구 능동로 지하417 (중곡동),서울특별시 광진구 중곡동 273-2,143-220,02-6311-7241
103,7,어린이대공원역(세종대),서울특별시 광진구 능동로 지하210 (화양동),서울특별시 광진구 화양동 164-1,143-915,02-6311-7261
104,7,건대입구역,서울특별시 광진구 능동로 지하110 (화양동),서울특별시 광진구 화양동 6-3,143-914,02-6311-7271
105,7,뚝섬유원지역,서울특별시 광진구 능동로 10 (자양동),서울특별시 광진구 자양동 73-2,143-845,02-6311-7281
106,7,청담역,서울특별시 강남구 학동로 지하508 (청담동),서울특별시 강남구 청담동 77-76,135-100,02-6311-7291
107,7,강남구청역,서울특별시 강남구 학동로 지하346 (삼성동),서울특별시 강남구 삼성동 111-44,135-090,02-6311-7301
108,7,학동역,서울특별시 강남구 학동로 지하180 (논현동),서울특별시 강남구 논현동 279-67,135-010,02-6311-7311
109,7,논현역,서울특별시 강남구 학동로 지하102 (논현동),서울특별시 강남구 논현동 280,135-010,02-6311-7321
110,7,반포역,서울특별시 서초구 신반포로 지하241 (잠원동),서울특별시 서초구 잠원동 103,137-030,02-6311-7331
111,7,고속터미널역,서울특별시 서초구 신반포로 지하188 (반포동),서울특별시 서초구 반포동 19-11,137-713,02-6311-7341
112,7,내방역,서울특별시 서초구 서초대로 지하103 (방배동),서울특별시 서초구 방배동 874-16,137-839,02-6311-7351
113,7,이수역,서울특별시 동작구 사당로 지하310 (사당동),서울특별시 동작구 사당동 144-4,156-816,02-6311-7361
114,7,남성역,서울특별시 동작구 사당로 지하218 (사당동),서울특별시 동작구 사당동 산 25-33,156-090,02-6311-7371
115,7,숭실대입구역(살피재),서울특별시 동작구 상도로 지하378 (상도동),서울특별시 동작구 상도동 514,156-830,02-6311-7381
116,7,상도역,서울특별시 동작구 상도로 지하272 (상도1동),서울특별시 동작구 상도1동 702-1,156-871,02-6311-7391
117,7,장승배기역,서울특별시 동작구 상도로 지하188 (상도동),서울특별시 동작구 상도동 26-20,156-831,02-6311-7401
118,7,신대방삼거리역,서울특별시 동작구 상도로 지하76 (대방동)  ,서울특별시 동작구 대방동 406-10,156-811,02-6311-7411
119,7,보라매역,서울특별시 동작구 상도로 지하2 (대방동),서울특별시 동작구 대방동 466-51,156-811,02-6311-7421
120,7,신풍역,서울특별시 영등포구 신풍로 지하27 (신길동),서울특별시 영등포구 신길동 3599,150-858,02-6311-7431
121,7,대림역(구로구청),서울특별시 영등포구 도림로 지하137 (대림동),서울특별시 영등포구 대림동 1050-17,150-825,02-6311-7441
122,7,남구로역,서울특별시 구로구 도림로 지하7 (구로동),서울특별시 구로구 구로동 801-95,152-875,02-6311-7451
123,7,가산디지털단지역,서울특별시 금천구 벚꽃로 309 (가산동),서울특별시 금천구 가산동 54-3,153-803,02-6311-7461
124,7,철산역,경기도 광명시 철산로 지하13 (철산동),경기도 광명시 철산동 526,423-841,02-6311-7471
125,7,광명사거리역,경기도 광명시 오리로 지하980 (광명동),경기도 광명시 광명동 158-211,423-807,02-6311-7481
126,7,천왕역,서울특별시 구로구 오리로 지하1154 (오류동),서울특별시 구로구 오류동 174-6,152-897,02-6311-7491
127,7,온수역(성공회대입구),서울특별시 구로구 경인로3길 지하64 (온수동),서울특별시 구로구 온수동 53-1,152-906,02-6311-7501
128,7,까치울역,경기도 부천시 원미구 길주로 지하626 (춘의동),경기도 부천시 원미구 춘의동 3-1,420-857,02-6311-7511
129,7,부천종합운동장역,경기도 부천시 원미구 길주로 지하502 (춘의동),경기도 부천시 원미구 춘의동 15-1,420-857,02-6311-7521
130,7,춘의역,경기도 부천시 원미구 길주로 지하406 (춘의동),경기도 부천시 원미구 춘의동 145,420-859,02-6311-7531
131,7,신중동역,경기도 부천시 원미구 길주로 지하314 (중동),경기도 부천시 원미구 중동 1140-6,420-852,02-6311-7541
132,7,부천시청역,경기도 부천시 원미구 길주로 지하202 (중동),경기도 부천시 원미구 중동 1243,420-020,02-6311-7551
133,7,상동역,경기도 부천시 원미구 길주로 지하104 (상동),경기도 부천시 원미구 상동 633,420-030,02-6311-7561
134,7,삼산체육관역,인천광역시 부평구 길주로 지하713 (삼산동),인천광역시 부평구 삼산동 466,403-866,02-6311-7571
135,7,굴포천역,인천광역시 부평구 길주로 지하623 (삼산동),인천광역시 부평구 삼산동 466,403-866,02-6311-7581
136,7,부평구청역,인천광역시 부평구 길주로 지하527 (갈산동),인천광역시 부평구 갈산동 193-45,403-802,02-6311-7591
137,8,암사역,서울특별시 강동구 올림픽로 지하776 (암사동),서울특별시 강동구 암사동 501,134-859,02-6311-8101
138,8,강동구청역,서울특별시 강동구 올림픽로 지하550 (성내동),서울특별시 강동구 성내동 319,134-851,02-6311-8121
139,8,몽촌토성역(평화의문),서울특별시 송파구 올림픽로 지하383 (신천동),서울특별시 송파구 신천동 19,138-240,02-6311-8131
140,8,잠실역(송파구청),서울특별시 송파구 올림픽로 305 (신천동),서울특별시 송파구 신천동 7-4,138-240,02-6311-8141
141,8,석촌역,서울특별시 송파구 송파대로 지하439 (석촌동),서울특별시 송파구 석촌동 209,138-190,02-6311-8151
142,8,송파역,서울특별시 송파구 송파대로 지하354 (가락동),서울특별시 송파구 가락동 459-4,138-160,02-6311-8161
143,8,가락시장역,서울특별시 송파구 송파대로 지하257 (가락동),서울특별시 송파구 가락동 184-23,138-812,02-6311-8171
144,8,문정역,서울특별시 송파구 송파대로 지하179 (문정동),서울특별시 송파구 문정동 119-4,138-200,02-6311-8181
145,8,장지역,서울특별시 송파구 송파대로 지하82 (장지동),서울특별시 송파구 장지동 201-5,138-871,02-6311-8191
146,8,복정역,서울특별시 송파구 송파대로 지하6 (장지동),서울특별시 송파구 장지동 596-21,138-871,02-6311-8201
147,8,산성역,경기도 성남시 수정구 수정로 지하365 (신흥동),경기도 성남시 수정구 신흥동 7-4,461-860,02-6311-8211
148,8,남한산성입구역(성남법원검찰청),경기도 성남시 수정구 산성대로 지하445 (단대동)  ,경기도 성남시 수정구 단대동 96,461-801,02-6311-8221
149,8,단대오거리역,경기도 성남시 수정구 산성대로 지하365 (신흥동),경기도 성남시 수정구 신흥동 2467,461-810,02-6311-8231
150,8,신흥역,경기도 성남시 수정구 산성대로 지하280 (신흥동),경기도 성남시 수정구 신흥동 2467,461-810,02-6311-8241
151,8,수진역,경기도 성남시 수정구 산성대로 지하200 (수진동),경기도 성남시 수정구 수진동 2205-1,461-805,02-6311-8251
152,8,모란역,경기도 성남시 수정구 산성대로 지하100 (수진동),경기도 성남시 수정구 수진동 4808,461-873,02-6311-8261
